13,5,74,5,74,18,13,18,Advanced
76,4,130,4,130,18,76,18,Solutions
132,5,180,5,180,18,132,18,Internati
177,5,206,5,206,18,177,18,onal
208,5,228,5,228,18,208,18,Inc
446,5,485,5,485,17,446,17,Invoice
488,5,508,5,508,17,488,17,No.
513,5,528,5,528,17,513,17,19
13,33,45,33,45,46,13,46,3309
46,33,80,33,80,48,46,48,Duke
81,33,120,33,120,48,81,48,Street
453,34,565,34,565,60,453,60,INVOICE
13,49,78,49,78,62,13,62,Alexandna
82,49,102,49,102,62,82,62,VA
104,48,144,48,144,62,104,62,22314
5,170,29,170,29,182,5,182,Sold
52,172,68,172,68,184,52,184,Mr
70,172,100,172,100,184,70,184,John
102,173,110,173,110,184,102,184,J
113,169,151,172,150,187,112,184,Colby,
152,170,178,170,178,184,152,184,CPA
326,170,349,170,349,182,326,182,Ship
373,172,389,172,389,184,373,184,Mr
392,172,421,172,421,184,392,184,John
424,173,432,173,432,184,424,184,J
434,170,472,172,471,185,434,183,Colby,
473,170,500,170,500,184,473,184,CPA
5,184,22,184,22,196,5,196,To:
328,185,344,185,344,194,328,194,To:
52,185,114,185,114,198,52,198,Foundation
116,185,161,186,161,201,115,199,Support
162,186,212,186,212,200,162,200,Systems
373,185,429,185,429,198,373,198,Controller
52,200,62,200,62,212,52,212,P
62,200,76,200,76,213,62,213,o
80,200,104,200,104,213,80,213,Box
105,201,113,201,113,212,105,212,4
112,200,148,200,148,213,112,213,72665
373,200,436,200,436,213,373,213,Foundation
437,199,483,201,482,215,436,214,Support
482,200,534,200,534,214,482,214,Systems
52,214,110,214,110,228,52,228,Somemille
116,214,132,214,132,226,116,226,NJ
133,213,172,213,172,228,133,228,08876-
172,213,200,213,200,228,172,228,1245
373,214,384,214,384,226,373,226,P
384,214,397,214,397,226,384,226,o
402,214,425,214,425,228,402,228,Box
425,214,469,214,469,228,425,228,472665
373,228,433,228,433,241,373,241,Somerville
437,229,453,229,453,241,437,241,NJ
454,228,493,228,493,241,454,241,08876
492,228,521,228,521,241,492,241,1245
89,278,137,281,137,293,88,290,Purchase
138,278,169,278,169,292,138,292,Order
169,280,188,280,188,292,169,292,No.
6,278,49,278,49,292,6,292,Account
49,280,66,280,66,290,49,290,No
206,278,237,278,237,292,206,292,Order
237,278,262,278,262,292,237,292,Date
289,278,318,278,318,292,289,292,Order
320,278,360,278,360,292,320,292,Number
426,279,457,281,457,292,426,290,Terms
506,278,542,278,542,292,506,292,Invoice
544,278,569,278,569,292,544,292,Date
5,305,25,305,25,318,5,318,153
205,305,260,305,260,318,205,318,10r2912001
290,306,304,306,304,318,290,318,98
396,306,414,306,414,318,396,318,Net
416,305,429,305,429,318,416,318,30
506,305,561,305,561,318,506,318,10/2912001
14,332,34,332,34,345,14,345,Oly
550,330,598,330,598,342,550,342,Extended
153,337,209,337,209,350,153,350,Description
62,337,85,337,85,349,62,349,Item
86,337,114,337,114,349,86,349,Code
481,337,502,337,502,349,481,349,Unit
504,337,532,337,532,349,504,349,Price
561,344,589,344,589,356,561,356,Price
4,345,45,346,45,360,3,359,Shipped
154,386,190,386,190,398,154,398,Boston
192,386,228,386,228,398,192,398,Annual
229,386,269,386,269,400,229,400,Meeting
270,388,281,388,281,398,270,398,in
282,386,300,386,300,400,282,400,the
301,386,335,388,334,401,300,399,Spring
154,400,176,400,176,412,154,412,121
174,400,209,400,209,412,174,412,1/2001
218,400,240,400,240,412,218,412,121
238,400,273,400,273,412,238,412,1/2001
154,414,192,414,192,426,154,426,Atlanta
196,413,213,413,213,425,196,425,GA
50,439,137,439,137,453,50,453,BAMS/AUSMAR.
154,441,188,441,188,453,154,453,Austin
189,441,230,441,230,453,189,453,Mamott-
232,440,268,440,268,453,232,453,Double
505,440,526,440,526,452,505,452,120
525,440,541,440,541,452,525,452,00
565,440,601,440,601,452,565,452,120.00
